,transcr_targets
CSNK2A1,"TAF7,CDK16,STAG1,TOP2A,RAD21,MYC,TDG,SET,PPARG,SUMO1,PLK1,TUBB,KHDRBS1,MYBBP1A,NFKBIB,TP53BP1,CHEK1,MSH2,PFDN5,PIAS1,HMGA1,CCND1,CDK2,CAV1,SMARCA2,CTR9,ING4,MAPK1,HIF1A,VHL,SRF,XRCC6,GSK3B,CBX3,CDK8,SNAI1,FOS,CDK6,SUZ12,XPO1,CDC73,UBE3A,CCNE1,STUB1,YY1,CDKN1A,MAPK9,SMARCA5,SENP1,WDR77,MTF2,KPNB1,DAXX,PPP1CA,E2F1,CDK1,GADD45A,ERBB2,CEBPB,CHEK2,TCF3,MDM4,NCOA3,USP7,RFC1,PIM1,NPM1,VDR,TRRAP,CCNA2,NCOA2,SMARCC1,ATF2,PRKDC,NCOR2,ATF3,SMAD3,SSRP1,EGR1,CSNK2A1,MAP2K1,ARNT,CSNK2B,AURKA,SUMO2,ATAD2,FOSL2,HDAC3,NR2C1,TFAP2A,SMAD4,CDK7,PHB2,CUL2,HSP90AA1,ATRX,EHMT2,IER3,ANP32A,RBL2,NFATC1,CREB1,NELFE,RUNX1,ATXN3,FOXO3,H2AFX,TLE1,OTUB1,BHLHE40,MAX,BRCA1,PIN1,TP53,SIRT1,PML,BARD1,KLF4,CHD4,ELK1,NFKBIA,HCFC1,RB1,RELA,IRF1,TOPBP1,USP37,MED1,NCOR1,CEBPZ,CDH1,FOXO1,AKT1,UHRF1,EGFR,FOXM1,NCL,PTEN,SFPQ,JUNB,RBBP4,EZH2,TERF2,TRIM28,HSPA4,STAT1,KDM1A,CCNH,DNMT1,GADD45GIP1,SMARCA4,STAG2,STAT3,HDAC2,TAF9,HNRNPD,TOP2B,XRCC5,SMAD5,ID2,CHUK,COPS5,PA2G4,SMC3,SQSTM1,FZR1,NONO,PRMT1,JUN,SIN3A,CEBPD,SKIL,CTCF,RPL11,CUL3,RBL1,HSPA8,KMT2A,JUND,PHB"
EPHA6,LYN
PIK3CG,SET
RPS6KA5,"CREB1,STAT3,TRIM28,ELK1,SRF,HIST1H3A,RARA,RELA"
EPHA4,"CBL,LYN"
CAMK2A,"CCND1,SMAD2,HDAC5,MYC,CCAR2,SRF,CDKN1A,NCOR2"
EPHA1,"CBL,LYN"
PAK2,"HIST1H4A,JUN,MAP2K1,SMAD2,HDAC5,MYC"
EEF2K,"MAPK9,MAPK8,SMARCA2,MAPKAPK2,MAPK11"
TNNI3K,FHL2
RYK,YAP1
FGR,"CBL,ERBB2,HSP90AA1"
MAP3K4,"TRRAP,CARM1,ELK1"
NTRK3,FOS
JNK2,"JUN,RELA,FOS,SMAD2,MYC,RB1,ATF2,JUND,PRKDC,TP53"
IKK-A,"CCND1,NFKB1,NFKB2,RELA,NCOR2"
PIKFYVE,AKT1
ROCK1,"PTEN,HIST1H3A,SRF"
MAST4,SMAD1
SRM,RUVBL2
FLT3,"RUNX1,H2AFY"
NEK2,"NPM1,AURKA,FOXM1,CCNA2,PLK1,CDK1"
MAPKAPK2,"PIAS1,CREB1,TRIM28,AKT1,MAPKAPK2,SRF,PLK1,TP53"
CLK2,"ASXL1,PTPN1"
RSK3,"MAPK3,MAPK1,CREB1,RPS6KA1"
RIPK3,"RUVBL2,CALM1,HSPA1A,NONO,HSPA8,DAXX,TUBB,HSP90AA1"
DNAPK,"MAPK9,SMAD2,TRIM28,CHEK2,ATM,KAT5,TCF3,SP1,TOP2B,H2AFX,XRCC5,TRRAP,CHEK1,PARP1,CHUK,TP53BP1,BRCA1,PRKDC,TP53,BARD1,SSRP1,NBN,NCOA6,XRCC6,SRF,IKBKB,SMC1A,RELA,TOPBP1,LYN,JUN,PRKCD,MAPK8,AKT1,MED23,SMAD4,HSP90AA1,ATRX"
PKC-A,"EGFR,NFE2L2,PRKCA,SRF,AHR,PTPN1,CDKN1A"
MATK,LYN
CAMK2D,"HDAC4,SMAD4,GSK3B"
BRD4,"POLR2A,SPEN"
