	ABT-869	AG-1296	AG-370	CHIR99021	Doramapimod	Gefitinib	LY364947	Necrostatin-5	PD 0325901	PD 173074	Ruxolitinib	SB-431542	SP 600125	Uninhibited_TNF	Uninhibited_Untreated	Valproic Acid	Y-27632 2HCl
ACAP3	0.0481458195062723	0.0637373447078025	0.112675809698095	0.0850321071263457	0.0466157001678165	0.103086736690885	0.0872006311319761	0.109194403464232	0	0.0117366759386407	0.0574608625798505	0.0607966692291449	0.0392415323601433	0.0610206332416823	0.0960062761208555	0.0888314281829126	0.10394901157743
PUSL1	0.136968443201338	0.308363067234272	0.256030148155825	0.269450117461697	0.24789804325018	0.28184777449424	0.230820920220666	0.211650077790443	0	0.121586970766879	0.201822486244087	0.201172656748392	0.14495294257314	0.207622302231294	0.202571915736042	0.197852711317079	0.234487524352156
INTS11	0.352718217546389	0.232246310338607	0.381201143553067	0.232093264816404	0.131278770094862	0.305751678076769	0.204008483210818	0.337917813991172	0	0.366911487881093	0.298467559032923	0.255184390566337	0.297330891913587	0.307194968412788	0.285594245917058	0.29431599031583	0.323353791789872
CPTP	0.0487690907278557	0.0489460465066704	0.0601674735219401	0.109039329100579	0.051562338867691	0.103054843223797	0.0739063867352315	0.0861569461474014	0	0.130166933642673	0.0736856482317955	0.068918522166373	0.0632127212242535	0.116896154433483	0.10052512015044	0.0629883878023216	0.0833561015059404
DVL1	0.145828280049179	0.0984315805856548	0.311782664182084	0.165440698935071	0.0466157001678165	0.0763566744069398	0.078174406316029	0.0896946390870412	0.257539467923459	0.0637630461514428	0.129144189479732	0.106587682629206	0.0577067985907424	0.165938349002453	0.167212091524789	0.130738917680434	0.148642282575373
AURKAIP1	4.54206110430092	4.77199954551448	4.27504016662431	5.59122132306901	5.64599467658771	4.30519443590728	5.0097766953576	5.15440637950211	2.86162882968844	5.05023763658983	4.82182817722236	4.71398349766857	5.02075201023755	4.76163173919723	5.1053039830855	4.9545382155505	4.71199581618109
CCNL2	0.196140977068611	0.204202832095433	0.289060084798868	0.327442500334427	0.194221832673313	0.283041931545669	0.305276130003403	0.290247500745366	0	0.370679457826586	0.27539127846287	0.289178868782581	0.439754620493565	0.219777553149523	0.242273735991948	0.27485428347107	0.34259509220892
MRPL20	2.46579980191915	2.65903367927946	2.97846630334158	2.6104232920776	2.8049086413714	2.32602894317037	2.35495869453997	2.45132220075207	3.28712369604321	2.72977970103403	2.51175676664625	2.44699745867061	2.66665799113245	2.62741398126974	2.58737806317967	2.41268301486141	2.50798682689521
VWA1	0.0861078546667512	0.115190197195784	0.136431043630449	0.0528319288906311	0.26099066648254	0.0519634811132223	0.111702184454191	0.151622649867947	0	0.0364033955220983	0.102478829559289	0.105458838750317	0.111854679405639	0.132568686720638	0.142320435989716	0.138620899281668	0.0723476555850943
ATAD3A	0.224951262287112	0.28593301635339	0.268396278992438	0.405281535020518	0.187049694532564	0.264390894416463	0.241004218950471	0.240252942000393	0	0.374591944238124	0.249193890504228	0.27945041783885	0.280620756580863	0.280868656082303	0.227187551103104	0.298435743649495	0.264214064119268
SSU72	1.38352748241936	1.15573369803964	1.39271598166625	1.40847775919949	1.74563870070028	1.39908631142112	1.49978018851302	1.33870933465234	1.62154472768169	1.26092258413865	1.37255898592413	1.41665542651031	1.5434782624177	1.45694719937382	1.62262496983397	1.29205893259722	1.47383825637143
AL645728.1	0.0105401409015662	0	0.0825213313987042	0.0307349763905715	0.0378873986512086	0.0639404908543527	0.0432322455870723	0.0363048097776122	0	0.0142568949908399	0.034989912339722	0.0317986600601931	0.0118558570477624	0.0465832165555638	0.0188048867355065	0.0560385829691264	0.0212619956837447
FNDC10	0.026343494489328	0.0592478284321131	0.115900995310244	0.013321559892808	0.0536480686695279	0.0470518511967305	0.109381852917598	0.0697701505456936	0.533845825325646	0.0368894791205548	0.0503146312625842	0.0554822548213606	0.0382771850228163	0.0705011557471442	0.0460616285239954	0.0461123256308803	0.0755621003984747
AL691432.2	0	0.0128266794933462	0.0152907536812489	0.00141505082013515	0	0.0187613085066451	0.0271865158234403	0.0196862487512021	0	0.0240318181272004	0.0114032910638003	0.0112797291722992	0	0.0142817958231765	0.0108048855067591	0.00884330646726956	0.00891180621324816
MIB2	0.0715498745894311	0.0119543735686674	0.0311591408724649	0.0591535670701301	0.0544128849711612	0.0438269706464283	0.0995658286354835	0.0650111075519557	0.232931914001537	0.0542141955820097	0.0596462045677342	0.0922040310077708	0.0568587111965304	0.0556423014021575	0.0605604037065413	0.0804279482354177	0.0533894520123405
CDK11B	0.191138749914758	0.331162889900099	0.20902714729233	0.24472466878915	0.227875477703584	0.171972333731384	0.189308467356961	0.215462185763525	0	0.119579775351312	0.203184848338482	0.203629086938395	0.179936346700306	0.203175779280029	0.178475495965071	0.274638027630329	0.273571159783313
