Antibodies,TrkA_DMSO_10_r1,TrkA_DMSO_10_r2,TrkA_DMSO_10_r3,TrkA_DMSO_45_r1,TrkA_DMSO_45_r2,TrkA_DMSO_45_r3,TrkB_DMSO_10_r1,TrkB_DMSO_10_r2,TrkB_DMSO_10_r3,TrkB_DMSO_45_r1,TrkB_DMSO_45_r2,TrkB_DMSO_45_r3,TrkA_DMSO_10_r4,TrkA_DMSO_10_r5,TrkA_DMSO_10_r6,TrkA_DMSO_45_r4,TrkA_DMSO_45_r5,TrkA_DMSO_45_r6,TrkB_DMSO_10_r4,TrkB_DMSO_10_r5,TrkB_DMSO_10_r6,TrkB_DMSO_45_r4,TrkB_DMSO_45_r5,TrkB_DMSO_45_r6
PKC (pan) P Ser660 (beta-2),1.421199268291702,1.3817882554806462,1.5912647611073436,1.5781560627342819,1.6809343995482804,1.6363420901708592,2.9071281017269657,2.43865126236661,2.094542616230095,2.9103880922734953,2.338226072404259,2.112765435378117,1.3166107727116378,1.4083969645585455,1.1384478001802907,1.243236574906183,1.2428906132925783,1.2225828155615324,2.3330300532711354,2.082110716421079,2.0034193194669787,2.214301605798589,2.203067705188818,2.887600489797056
PKC substrate P (R/K)X(S*)(Hyd)(R/k),1.3131665282793097,1.1137896069833402,1.3672898012076509,1.106177869458724,1.0941083599153136,1.2192024893704907,1.2184879721385533,1.080194113368332,1.1321836509208165,0.9874689145410979,0.7549010920340666,0.8185899759337915,0.8763442021167897,1.1660130831707358,0.9381071444304312,1.057945204885644,1.1745425503156328,0.8757852994943148,1.079287302010161,1.1051665813599798,1.0713775043494518,0.9350252601945488,1.026071908794065,1.1381877956459785
PKC-zeta,1.2077253109098633,1.0265676900228342,1.4651180497154732,1.164160282918806,1.1554528371366992,1.2370008637784689,0.6626803891379575,0.5859042732263194,0.5964425850760138,0.4858353122062338,0.4711970254362239,0.5109123833623163,1.325527356111922,0.7816370767246782,1.042179290784547,1.1484363797473869,0.9378037592183898,1.1634158213026213,1.545153457079889,0.5369727171415198,1.173639267817654,1.2266984760560438,0.5526761700878287,1.6945204727299414
PKC-zeta/lambda P Thr410/403,1.0767395364818222,0.9967307509053142,1.2792790998506876,1.0346328870832453,1.0147121900097564,1.1302489069708095,1.1107668883918091,0.9332858106694161,0.966110141556307,1.0132998100021724,0.7138186890312329,0.8380600552772839,0.9859305491348186,1.1220894598775044,0.852199137837408,0.8946442740312309,1.0729225626482648,0.974863759015887,1.1572588131717199,0.9281481071768001,0.9871289097090915,0.8246368240086216,0.8851133614798743,1.286827606280949
CDK1 (cdc2),1.3778673832280526,1.1657027658827752,1.5181251619185165,1.3535787362477363,1.2674144703771024,1.3050961077590921,2.1086589442265247,1.7714725437860777,1.650937919118332,1.361628091229253,1.102921865514509,1.2068736402002014,1.132218887438543,1.0506736864671757,0.9739105469363296,0.9077484685765236,1.073212847660355,1.0219864792008564,1.3675366255372108,1.1466843384169234,1.1143717352109335,0.9124200404337581,1.1100861388229695,1.3392318550067688
Met P Tyr1349,1.2005033154799953,1.1985447095347226,1.5049372180612999,1.137144713009552,1.1147718212963418,1.214292929177992,2.5649431805117535,2.1266322494930616,2.0020981414394665,1.4271538217502364,1.218087355057358,1.1852011485448648,0.9666344386772368,1.1034860420791621,1.0187493560511836,0.7166287538941786,1.1995400477379705,1.0312099296079382,3.001205809231116,2.458705514681485,2.3591160335053147,1.7686843465386377,2.1676568749920686,2.6435598040633375
"IGF-1R beta P Tyr1162,Tyr1163",1.6067535174359135,1.293319059031669,1.7401951678140242,1.435552485900646,1.2780281148300197,1.502174299546999,3.015209169766713,2.470543447574682,2.2925947821392327,2.0442446273257717,1.627166515894615,1.5612452317175551,1.3445745094470114,1.3322686109522104,1.1544256150096488,1.0422470871315246,1.2273114907563991,1.1218156976504101,2.7883986099124805,2.0635642269785017,2.0281603558080916,1.7575219185883353,1.974517471001588,2.5450229962152338
ErbB-1/EGFR,1.1461271824334098,1.083636889352315,1.338664436491112,1.1905101052854816,1.2235059224263065,1.3318663683357908,1.525668642414089,1.150226909489069,1.0925883002278196,1.261498563985896,1.0908741750216384,1.247988093331069,0.9795168976122638,1.1097303569060881,0.8367030580458443,0.8798741836943371,0.9501298487960548,0.9903277289992609,1.0110656960157318,0.9239704914296142,0.9495930216738269,0.8477683788473096,0.8657971506381532,1.216559964799068
ErbB-2/Her2/EGFR P Tyr1248/Tyr1173,1.6629942525749248,1.3493673226182301,1.791555480139024,1.7648852142378988,1.4116405167378172,1.6505414860987377,15.716268726762296,12.504212894882535,11.54110088124704,8.96999080421863,6.197507426834674,6.315517488638767,0.9599952022209425,1.899413399776388,1.0872679422018952,1.0466247069152705,1.1038942436026238,1.3371837456149915,8.833610738748188,6.69141663469131,5.20919103265137,5.608623939477624,6.282618413485745,6.835476455455245
ErbB-3/Her3/EGFR,1.4326992247394985,1.0805922698609256,2.1452304401846503,1.7578147849597077,1.3465513615974174,1.8356566355305108,1.8694486810491486,1.3765990801066528,1.4233488573320958,1.3110236722727284,0.9012797353835578,1.0352529475692356,0.8835827251743653,1.1729672923582417,0.8621730869667128,0.7509830396665871,1.2267170262824363,0.7925652896829148,1.2362680311614638,0.990662810052673,0.9096396667108753,1.1418937793711952,1.078449123636067,1.4010605634964537
