ERK,AKT,mTOR,SRC,CDK,PKC,IRS,DPD
0,0,2.22044604925031e-16,0,0,0.468159556706474,2.22044604925031e-16,0
5.55111512312578e-16,0,0,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,0
1.11022302462516e-16,1.11022302462516e-16,0,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0,0
0,0,0,0,0,0,0,0
0,0,1.11022302462516e-15,0,0,0,0,0
0,0,0,0,0,0,0,0
2.22044604925031e-16,0,2.22044604925031e-16,0,0,0,0,0
0,0,7.7715611723761e-16,7.7715611723761e-16,0,0,0,0
