TRK,ERK,AKT,JNK,S6K,RSK,RTK,STV
0,0,0,0,0,0,0,0
0.414804739511982,0,0.203154286953135,0.414140328426287,0,0.372372744684447,6.66133814775094e-16,0
4.44089209850063e-16,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0
0,2.22044604925031e-16,0,0,0,0,0.465532675053693,0
0,0,2.22044604925031e-16,0,0,0,0,0
0,1.33226762955019e-15,0,0,0,0,0,0
2.22044604925031e-16,2.22044604925031e-16,0,0,0,2.22044604925031e-16,0,0
0,4.44089209850063e-16,4.44089209850063e-16,0.0344024584622826,4.44089209850063e-16,0.0506576899336592,0,0
