TRK,ERK,AKT,JNK,S6K,RSK,RTK,STV
0,0,0,0,0,0,0,0
0.779172040287699,0,0.0431320369159562,0.780156721088335,0,0.833674300802703,1,0
1,1,0,1,1,1,1,0
0,1,0,0,0,0,0.682426227438252,0
0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0
1,1,0,0,0,1,0,0
0,1,1,0.998815066785028,1,0.997427179042909,0,0
