TRK,ERK,AKT,JNK,S6K,RSK,RTK,STV
0,0,0,0,0,0,0,0
0.17805496588792,0,0.263078019326648,0.000607080044625005,-0.638976974299966,-0.0234582134012396,1.7119649520431,0
-0.603614595721614,1.06869047834907,0,-0.821986578680543,-0.418319622968588,1.63229874103259,0.185874366860148,0
0,0,0,0,0,0,0,0
0,0,0.530732013952932,0,0,0,0,0
0,0.247002062159456,0,0,0,0,0,0
-0.199759064921892,0.422586923062811,0,0,0.402679979000723,0,0,0
0,0.998957959197864,0,-1.08630673134294,1.06016016049077,-0.839755662668384,0,0
