TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0,0.0414731900354158,0.602970410395358,0,0.596991537091931,0,0,0,0,0,0.592779248938523,0
0.0826965448780152,0,0,0.178075624182523,0.0269615511938037,0,0.594766103107865,0,0,0,0,0,0.593706087884013,0
0,0,0,0,0,0,0.343278542701925,0,0,0,0,0,0.25976367113366,0
0.191369941099266,0.977109688367382,0.172263030287284,0,0.0714634207751132,0.185739201943813,0.532826563351778,0.202353865831976,0.0183159931435553,0,0.032201023098837,0.00396307419840635,0.508482642397262,0
1.01368077623522,0.981568677724518,0.999512992195891,1.02296800869539,0,0,1.00597752111792,1.01953677206163,0.879684142922073,0,1.00406804566753,0,0.996720796506119,0
0.498456086281741,0,0.0809058192927314,0.0101859824687508,0,0,0.422584894302272,0.0447838499462495,0.00804611544692045,0,0.0351231687561137,0,0.41524167395868,0
0.0195604887669644,0,0,0,0,0,0,0.210173563641547,0,0,0,0,0.674749133114367,0
0.936753595558045,0,0.930466447895013,0.962049912703902,0.950451499080656,0.926224110065789,0.928283909890631,0,0,0.948363885274095,0.952663838766086,0.9500194136978,0.940871383714683,0
0,0,0,0.772246479883913,0.790953551616373,0.770391794383696,0.896116041442433,0.814364811716648,0,0.874482099819098,0.0122245343002642,0.725967422380357,0.882862087750203,0
0.894790295496702,0,0,0.875275768557737,0.882175138652287,0.89213642046504,0.91172154669863,0.892526685546473,0,0,0.493536896234281,0.892591952857499,0.909829448380821,0
0.694994799267281,0,0,0.712255532488846,0.709986070682443,0.701658267256962,0.714305016445279,0.70998456552402,0,0.710119184464947,0,0.704609602914939,0.711165857005091,0
0.730843941976748,0,0.724038998234143,0.728975313620603,0.720872940403462,0.71773386326967,0.721549176621383,0.733191177494295,0,0.728270826155322,0.717117702823708,0,0.72879371766766,0
0.0435313178234493,0,0,0,0,0,0.626367361657841,0.224353052993459,0,0,0,0,0,0
0.633602233109786,0,0,0.638327377709261,0.644122917628051,0.645913455478216,0.63765704307979,0.650040059875167,0.645961071324895,0.646274706704471,0.650846181558975,0.640960937031908,0.640873065972459,0
