TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0,0.130743568709027,0.328686027284621,0,1.4432899320127e-15,0,0,0,0,0,1.4432899320127e-15,0
0.231490849638039,0,0,0.35413915117326,0.114020291612931,0,4.44089209850063e-16,0,0,0,0,0,4.44089209850063e-16,0
0,0,0,0,0,0,0.387943711728471,0,0,0,0,0,0.387943711728471,0
0.224629061877551,0.291696277056486,0.196119477881367,0,0.103451657838485,0.230335862516307,0.448431740717814,0.234395680343052,0.0361906066649081,0,0.0639507631964387,0.018075213978424,0.442280301692313,0
0.0469192173855749,0.0347611878289131,1.11022302462516e-15,0.0347273172063738,0,0,1.11022302462516e-15,1.11022302462516e-15,0.410904518307445,0,1.11022302462516e-15,0,1.11022302462516e-15,0
0.44359093074243,0,0.162818840036106,0.0420937812225415,0,0,0.483250582166829,0.112323109392998,0.0375113939990601,0,0.0960346921515986,0,0.483013632017328,0
0.101980274128639,0,0,0,0,0,0,0.31744328285254,0,0,0,0,1.55431223447522e-15,0
7.77156117237609e-16,0,7.77156117237609e-16,7.77156117237609e-16,7.77156117237609e-16,7.77156117237609e-16,7.77156117237609e-16,0,0,7.77156117237609e-16,7.77156117237609e-16,7.77156117237609e-16,7.77156117237609e-16,0
0,0,0,0.408215193844755,0.41085510370077,0.411675021237029,6.66133814775094e-16,0.348343162150708,0,6.66133814775094e-16,0.0486505097628422,0.411675021237029,6.66133814775094e-16,0
0,0,0,0,0,0,0,0,0,0,0.498860609506559,0,0,0
2.22044604925031e-16,0,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,2.22044604925031e-16,0,2.22044604925031e-16,2.22044604925031e-16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.153749108275775,0,0,0,0,0,6.66133814775094e-16,0.3409920376685,0,0,0,0,0,0
6.66133814775094e-16,0,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,0
